ghgrp_facility_id,oris_code
1000734,2380
1000735,2382
1000737,2384
1000738,2385
1000739,55081
1000740,2390
1000741,2393
1000742,2398
1000743,2399
1000744,2400
1000745,2401
1000746,2403
1000747,2404
1000748,2408
1000750,2410
1000751,2434
1000752,2444
1000753,2446
1000754,2450
1000755,2454
1000758,2480
1000759,2490
1000760,2491
1000761,2493
1000762,2496
1000763,2499
1000764,2500
1000766,2503
1000767,2504
1000768,2511
1000770,2513
1000771,2516
1000772,2521
1000773,2526
1000774,2527
1000777,2539
1000778,2549
1000779,2554
1000780,2625
1000781,No Match
1000782,56671
1000784,2682
1000785,2708
1000786,2709
1000787,2712
1000788,55328
1000790,4072
1000791,55332
1000792,55334
1000794,55340
1000795,55343
1000796,55345
1000798,55357
1000799,55364
1000800,55380
1000801,55382
1000805,55392
1000806,55393
1000808,55401
1000809,55402
1000811,55406
1000812,55409
1000813,55411
1000814,55415
1000815,55418
1000816,55419
1000817,55438
1000818,55439
1000819,55440
1000820,55447
1000821,55451
1000822,55455
1000823,55936
1000824,55463
1000825,55464
1000826,55467
1000827,55477
1000828,2713
1000829,2716
1000830,2718
1000831,2720
1000832,2721
1000833,2723
1000834,2727
1000835,2732
1000836,2817
1000837,2823
1000838,2824
1000839,2828
1000840,2830
1000841,2832
1000843,2836
1000844,2838
1000845,2840
1000846,2843
1000848,2848
1000849,2850
1000850,2861
1000852,2872
1000853,2876
1000856,2917
1000859,2951
1000860,2952
1000861,2956
1000862,2963
1000863,2964
1000864,2965
1000865,3006
1000866,3008
1000867,3098
1000869,50410
1000870,54914
1000873,3113
1000875,3115
1000877,3118
1000879,3131
1000880,3132
1000883,3136
1000884,3138
1000886,3140
1000892,3148
1000893,3149
1000896,3159
1000898,3161
1000900,3169
1000901,3176
1000902,3179
1000905,3236
1000906,3250
1000906,3251
1000908,3264
1000909,3287
1000910,3295
1000911,3297
1000912,3298
1000913,3317
1000914,3319
1000916,3393
1000917,3396
1000918,3405
1000919,3406
1000922,3441
1000924,3443
1000926,3453
1000928,3457
1000929,3460
1000932,3468
1000934,3476
1000935,3477
1000936,3478
1000937,3482
1000938,3483
1000939,3484
1000941,3490
1000942,3491
1000947,3507
1000948,3508
1000952,3561
1000953,3574
1000954,3601
1000955,3602
1000956,3609
1000959,3628
1000960,3644
1000961,55429
1000962,3776
1000963,3796
1000964,3797
1000965,3803
1000966,3804
1000967,3935
1000968,3936
1000969,3938
1000970,3942
1000971,3943
1000972,3280
1000973,3285
1000974,3945
1000975,3947
1000976,3948
1000977,3954
1000978,3982
1000979,3992
1000982,4041
1000983,4050
1000984,4054
1000985,4076
1000986,4078
1000987,4125
1000988,4140
1000989,4146
1000990,4158
1000991,4162
1000992,4195
1000993,4259
1000994,4266
1000995,4271
1000996,4937
1000997,4939
1000998,4940
1000999,4941
1001000,54529
1001001,6004
1001002,6009
1001003,6013
1001004,6016
1001005,6017
1001006,6018
1001007,6019
1001008,6021
1001010,6031
1001011,6034
1001012,6035
1001013,6043
1001014,6046
1001015,6052
1001016,6055
1001017,6058
1001018,6065
1001020,6076
1001021,6081
1001022,6082
1001023,6085
1001024,6090
1001025,6095
1001026,6096
1001027,6098
1001028,6101
1001029,6112
1001030,6113
1001031,6124
1001032,6136
1001033,6137
1001034,6147
1001035,6155
1001036,6165
1001037,6166
1001038,6178
1001039,6181
1001040,6183
1001041,6190
1001042,6193
1001043,6194
1001044,6195
1001045,6204
1001046,6223
1001047,6243
1001048,6248
1001049,6250
1001050,6254
1001051,6257
1001052,6264
1001053,6358
1001054,6373
1001055,6469
1001058,6584
1001059,6641
1001060,6664
1001062,6761
1001063,6768
1001064,6772
1001065,6776
1001066,6823
1001070,7030
1001074,No Match
1001076,7138
1001078,10784
1001079,7145
1001080,7146
1001082,7153
1001083,7155
1001085,7158
1001086,7159
1001087,54657
1001091,7203
1001092,7210
1001093,7213
1001097,7237
1001098,7238
1001100,7242
1001104,3612
1001106,7258
1001107,7266
1001108,7270
1001109,7277
1001110,7288
1001111,7296
1001112,7302
1001113,7314
1001114,7318
1001115,7335
1001116,7336
1001117,7343
1001118,7348
1001119,7350
1001120,56643
1001122,7425
1001124,7456
1001125,7504
1001126,7515
1001127,7527
1001129,7551
1001130,7552
1001133,7605
1001134,7693
1001135,7697
1001136,7698
1001137,7699
1001140,7721
1001141,7754
1001142,7757
1001144,7759
1001145,7763
1001146,7764
1001147,7765
1001148,55015
1001149,7790
1001150,7805
1001151,7813
1001152,7825
1001153,7826
1001156,7829
1001158,7834
1001159,7835
1001160,7836
1001161,7839
1001162,7838
1001163,7710
1001164,7842
1001165,7843
1001166,7844
1001167,7846
1001168,7858
1001169,7863
1001170,7869
1001171,7872
1001172,7873
1001174,3130
1001175,7897
1001176,7902
1001177,7903
1001178,7917
1001179,7960
1001180,7929
1001181,8002
1001182,8006
1001183,8007
1001184,8008
