ghgrp_facility_id,oris_code
1008787,No Match
1008996,57457
1008997,10437
1008997,10438
1009077,10062
1009167,52026
1009168,54694
1009496,56708
1009505,880089
1010109,57179
1010343,52061
1010417,57515
1010540,303
1010566,No Match
1010570,50298
1010575,55350
1010578,3487
1010604,56564
1010606,57036
1010606,6293
1010612,55965
1010630,3338
1010637,55063
1010646,54333
1010680,54693
1010692,58442
1010723,No Match
1010767,57978
1010794,58124
1010858,550
1010860,8022
1010937,6566
1010949,57037
1010962,57482
1010973,58079
1010977,58429
1011029,57582
1011030,57466
1011063,55866
1011082,57073
1011082,57074
1011082,57075
1011083,7725
1011190,58122
1011203,No Match
1011204,57241
1011211,10025
1011214,1772
1011225,56911
1011303,57267
1011315,57881
1011323,57943
1011451,No Match
1011453,58005
1011465,54854
1011532,57206
1011543,56963
1011554,58001
1011577,61575
1011578,58944
1011672,1826
1011681,58574
1011685,55939
1011718,59457
1011718,59458
1011772,10548
1011829,58989
1011838,58284
1011850,58260
1011885,57946
1011896,58471
1011999,58325
1012000,59467
1012008,58562
1012016,56497
1012017,No Match
1012032,No Match
1012035,No Match
1012043,58835
1012045,57703
1012054,57839
1012065,57349
1012074,58235
1012083,58180
1012093,50061
1012095,50537
1012122,58426
1012152,59926
1012160,59004
1012196,58420
1012373,59391
1012414,57555
1012447,60264
1012567,58811
1012599,58715
1012606,58503
1012716,No Match
1012749,60025
1012840,1877
1012844,60340
1012853,57842
1012869,60903
1012885,56846
1012910,60460
1012911,60459
1012932,59764
1012942,57794
1012967,No Match
1012981,59726
1013006,59812
1013024,60122
1013039,58818
1013046,59220
1013054,59093
1013063,59773
1013070,58813
1013136,60302
1013173,61643
1013187,60468
1013219,59913
1013223,56047
1013225,61927
1013233,60357
1013243,No Match
1013248,59326
1013257,60376
1013259,59325
1013277,60464
1013284,54004
1013286,60368
1013300,60559
1013328,No Match
1013330,56940
1013345,54081
1013349,58153
1013360,302
1013374,59906
1013523,58478
1013524,3754
1013526,61392
1013527,61391
1013530,3734
1013540,61241
1013541,61242
1013542,61028
1013559,7932
1013577,60589
1013578,60926
1013598,57185
1013620,61035
1013640,60345
1013680,54550
1013708,58714
1013716,61263
1013863,60925
1013864,55486
1013875,62289
1013877,60928
1013878,60927
1013880,880109
1013939,60698
1013945,50243
1013951,6566
