name	lat	lon	region
Gorgie	55.935	-3.235	south_scotland
Govan	55.854	-4.314	south_scotland
Grangemouth A	56.002	-3.689	south_scotland
Grangemouth C	56.002	-3.689	south_scotland
Greenford (Willesden 66kV)	51.535	-0.257	england_wales
Grendon	52.243	-0.726	england_wales
Grimsby West	53.566	-0.151	england_wales
Grudie Bridge	57.615	-4.83	north_scotland
Hackney 132kV	51.559	-0.041	england_wales
Hackney 66kV	51.56	-0.044	england_wales
Haggs Road	55.83	-4.296	south_scotland
Hams Hall (Lea Marston 132kV)	52.529	-1.709	england_wales
Harker	54.942	-2.964	england_wales
Hartmoor	54.701	-1.291	england_wales
Hawick	55.428	-2.791	south_scotland
Hawthorn Pit	54.806	-1.402	england_wales
Helensburgh	56.02	-4.701	south_scotland
Heysham (Barrow)	54.033	-2.889	england_wales
Heysham (NGET)	54.033	-2.889	england_wales
Hunterston Farm	55.743	-4.864	south_scotland
Hurst	51.436	0.154	england_wales
Hutton	54.298	-2.672	england_wales
Imperial Park	51.547	-3.031	england_wales
Indian Queens	50.395	-4.901	england_wales
Inverkeithing	56.042	-3.39	south_scotland
Inverness	57.452	-4.241	north_scotland
Iron Acton	51.569	-2.481	england_wales
Ironbridge	52.632	-2.51	england_wales
Islington	51.561	-0.113	england_wales
Iver 132kV	51.542	-0.498	england_wales
Iver 66kV	51.541	-0.497	england_wales
Johnstone	55.844	-4.504	south_scotland
Jordanthorpe	53.33	-1.453	england_wales
Kaimes	55.891	-3.163	south_scotland
Keadby	53.597	-0.758	england_wales
Kearsley 132kV	53.538	-2.359	england_wales
Kearsley 33kV	53.538	-2.359	england_wales
Keith	57.538	-2.933	north_scotland
Kemsley	51.367	0.741	england_wales
Kendoon	55.161	-4.181	south_scotland
Kilbowie 11	55.905	-4.412	south_scotland
Kilbowie 33	55.905	-4.412	south_scotland
Killermont	55.903	-4.31	south_scotland
Killin	56.475	-4.325	north_scotland
Kilmarnock South	55.58	-4.456	south_scotland
Kilmarnock Town	55.593	-4.487	south_scotland
Kilwinning	55.664	-4.678	south_scotland
Kingsnorth	51.42	0.596	england_wales
Kinlochleven	56.714	-4.95	north_scotland
Kintore	57.213	-2.374	north_scotland
Kirkby ENW	53.469	-2.849	england_wales
Kirkby SPEN	53.469	-2.849	england_wales
